customer_id,name,age,country,account_age_days,avg_monthly_spend,risk_tier,is_watchlist
CUST0001,Customer 1,58,US,81,3759.44,low,False
CUST0002,Customer 2,26,AU,239,3448.16,high,False
CUST0003,Customer 3,55,CA,95,343.03,low,False
CUST0004,Customer 4,50,DE,84,2893.98,high,True
CUST0005,Customer 5,32,CA,1236,1535.32,low,False
CUST0006,Customer 6,62,CA,726,1533.78,low,False
CUST0007,Customer 7,24,US,808,664.24,medium,False
CUST0008,Customer 8,69,US,1524,2405.24,low,True
CUST0009,Customer 9,23,DE,630,4181.14,high,False
CUST0010,Customer 10,54,UK,1472,533.86,high,False
CUST0011,Customer 11,67,IN,193,4305.53,low,True
CUST0012,Customer 12,35,CA,1331,4203.73,low,False
CUST0013,Customer 13,40,UK,1402,1481.49,high,False
CUST0014,Customer 14,56,AU,380,2763.87,low,False
CUST0015,Customer 15,47,CA,582,4949.71,high,False
CUST0016,Customer 16,61,IN,1756,3887.91,low,False
CUST0017,Customer 17,70,US,1678,1714.17,medium,False
CUST0018,Customer 18,31,DE,1824,3645.99,low,True
CUST0019,Customer 19,43,AU,969,885.78,low,False
CUST0020,Customer 20,65,DE,1133,1461.16,high,True
CUST0021,Customer 21,75,DE,847,1937.58,low,True
CUST0022,Customer 22,23,US,1793,726.32,high,False
CUST0023,Customer 23,68,AU,894,3062.76,medium,True
CUST0024,Customer 24,56,CA,1113,1406.79,high,False
CUST0025,Customer 25,61,AU,264,3472.21,high,False
CUST0026,Customer 26,67,AU,726,735.45,medium,False
CUST0027,Customer 27,47,US,1983,3666.04,high,False
CUST0028,Customer 28,50,UK,1069,4580.61,high,False
CUST0029,Customer 29,71,AU,1069,3123.06,low,False
CUST0030,Customer 30,66,UK,1134,4776.8,high,False
CUST0031,Customer 31,56,IN,1030,293.49,medium,False
CUST0032,Customer 32,33,US,523,4414.45,low,False
CUST0033,Customer 33,64,CA,1701,532.22,high,False
CUST0034,Customer 34,26,AU,1003,4744.87,low,False
CUST0035,Customer 35,51,DE,896,4828.94,high,False
CUST0036,Customer 36,63,IN,847,4976.72,high,False
CUST0037,Customer 37,46,DE,954,780.82,low,False
CUST0038,Customer 38,39,US,1234,2858.82,high,False
CUST0039,Customer 39,18,US,1479,3229.29,low,False
CUST0040,Customer 40,75,US,1790,1786.06,high,False
CUST0041,Customer 41,35,AU,1024,1228.34,low,True
CUST0042,Customer 42,33,CA,1683,2153.89,low,False
CUST0043,Customer 43,60,CA,755,2233.18,medium,False
CUST0044,Customer 44,61,AU,1353,672.41,medium,False
CUST0045,Customer 45,69,US,539,1119.63,high,True
CUST0046,Customer 46,26,CA,405,1537.02,low,False
CUST0047,Customer 47,46,DE,230,442.82,high,False
CUST0048,Customer 48,23,UK,370,2150.79,medium,False
CUST0049,Customer 49,73,CA,1878,481.45,medium,False
CUST0050,Customer 50,42,IN,1927,3963.54,medium,False
CUST0051,Customer 51,45,AU,1990,3706.43,high,True
CUST0052,Customer 52,27,UK,637,1244.96,low,False
CUST0053,Customer 53,65,IN,147,440.68,medium,False
CUST0054,Customer 54,21,DE,194,4286.44,low,False
CUST0055,Customer 55,61,UK,856,775.46,high,False
CUST0056,Customer 56,55,DE,111,3173.03,medium,False
CUST0057,Customer 57,34,UK,1401,3637.72,low,False
CUST0058,Customer 58,43,UK,1405,3298.4,medium,False
CUST0059,Customer 59,66,US,49,2399.77,high,False
CUST0060,Customer 60,22,DE,466,2628.25,low,False
CUST0061,Customer 61,74,US,1830,1372.57,medium,False
CUST0062,Customer 62,46,DE,1470,1652.08,high,False
CUST0063,Customer 63,60,DE,643,4672.43,low,False
CUST0064,Customer 64,34,US,1852,713.77,high,False
CUST0065,Customer 65,35,IN,1268,1211.02,medium,False
CUST0066,Customer 66,61,AU,1776,1467.12,medium,False
CUST0067,Customer 67,75,US,219,3244.57,medium,False
CUST0068,Customer 68,18,IN,1609,827.93,medium,False
CUST0069,Customer 69,65,CA,1159,3587.2,high,False
CUST0070,Customer 70,25,US,1965,4438.91,low,False
CUST0071,Customer 71,71,IN,1222,2852.12,medium,False
CUST0072,Customer 72,20,IN,776,4515.11,low,False
CUST0073,Customer 73,31,AU,541,3401.28,medium,True
CUST0074,Customer 74,57,AU,346,4643.67,low,False
CUST0075,Customer 75,69,UK,1835,2179.01,low,False
CUST0076,Customer 76,68,CA,1672,3415.55,high,False
CUST0077,Customer 77,35,UK,1642,3566.14,medium,False
CUST0078,Customer 78,72,CA,485,1157.95,medium,False
CUST0079,Customer 79,37,UK,486,313.59,low,True
CUST0080,Customer 80,39,IN,1800,533.22,medium,False
CUST0081,Customer 81,59,DE,848,3461.69,high,False
CUST0082,Customer 82,19,US,1826,4857.92,low,False
CUST0083,Customer 83,20,US,1251,2285.91,high,False
CUST0084,Customer 84,45,DE,1077,755.1,high,False
CUST0085,Customer 85,34,US,1481,2293.08,high,False
CUST0086,Customer 86,41,CA,173,4754.6,medium,False
CUST0087,Customer 87,60,US,1504,4520.22,high,False
CUST0088,Customer 88,60,CA,698,2131.52,medium,False
CUST0089,Customer 89,30,CA,1391,4713.75,high,False
CUST0090,Customer 90,57,DE,646,2149.16,low,False
CUST0091,Customer 91,36,UK,910,3971.64,high,False
CUST0092,Customer 92,47,CA,935,3443.01,high,True
CUST0093,Customer 93,68,AU,377,3362.48,medium,False
CUST0094,Customer 94,23,UK,1407,1690.01,low,False
CUST0095,Customer 95,19,US,531,4922.89,high,False
CUST0096,Customer 96,47,CA,1844,3222.87,low,True
CUST0097,Customer 97,49,CA,529,908.34,high,False
CUST0098,Customer 98,75,US,1624,2240.7,low,True
CUST0099,Customer 99,21,DE,540,4603.86,low,True
CUST0100,Customer 100,26,CA,1397,2749.43,high,False
CUST0101,Customer 101,66,CA,1284,4112.03,high,True
CUST0102,Customer 102,71,DE,943,4506.6,high,True
CUST0103,Customer 103,46,IN,1569,1386.75,high,False
CUST0104,Customer 104,67,DE,1022,3208.39,medium,True
CUST0105,Customer 105,22,AU,615,1325.57,medium,False
CUST0106,Customer 106,75,DE,195,864.2,low,True
CUST0107,Customer 107,62,UK,1476,1226.97,medium,True
CUST0108,Customer 108,39,DE,984,2195.72,low,True
CUST0109,Customer 109,42,DE,1967,3538.51,high,True
CUST0110,Customer 110,48,US,1960,1888.44,medium,True
CUST0111,Customer 111,52,AU,1534,2821.44,high,False
CUST0112,Customer 112,49,UK,588,2292.01,low,True
CUST0113,Customer 113,39,AU,1420,4031.08,high,False
CUST0114,Customer 114,71,CA,1913,812.61,high,False
CUST0115,Customer 115,43,DE,1185,3382.4,low,True
CUST0116,Customer 116,26,CA,402,441.37,medium,False
CUST0117,Customer 117,31,CA,699,1820.0,medium,False
CUST0118,Customer 118,66,CA,546,4207.57,medium,False
CUST0119,Customer 119,65,DE,136,4999.56,medium,False
CUST0120,Customer 120,59,US,1629,4794.97,low,False
CUST0121,Customer 121,33,UK,1748,297.82,low,False
CUST0122,Customer 122,26,CA,1401,749.07,low,True
CUST0123,Customer 123,62,IN,1600,1970.7,high,False
CUST0124,Customer 124,67,UK,667,718.87,low,False
CUST0125,Customer 125,54,AU,1889,4799.23,medium,False
CUST0126,Customer 126,22,DE,1444,4186.74,low,False
CUST0127,Customer 127,62,IN,1771,3484.44,low,False
CUST0128,Customer 128,40,DE,907,3375.3,low,False
CUST0129,Customer 129,18,CA,1714,2552.97,medium,False
CUST0130,Customer 130,58,CA,1478,934.36,low,False
CUST0131,Customer 131,57,DE,1616,2520.79,medium,False
CUST0132,Customer 132,38,UK,1731,4686.19,medium,True
CUST0133,Customer 133,33,CA,1197,3129.59,medium,False
CUST0134,Customer 134,19,CA,1772,1760.07,medium,False
CUST0135,Customer 135,40,IN,727,1542.36,high,False
CUST0136,Customer 136,53,US,1088,4750.7,low,False
CUST0137,Customer 137,64,CA,1030,2864.85,low,True
CUST0138,Customer 138,59,AU,1035,2351.24,low,False
CUST0139,Customer 139,36,UK,858,3520.58,medium,False
CUST0140,Customer 140,48,DE,1117,1850.04,high,False
CUST0141,Customer 141,40,AU,959,1500.4,medium,False
CUST0142,Customer 142,25,AU,424,1714.63,high,False
CUST0143,Customer 143,30,UK,1542,2524.15,high,False
CUST0144,Customer 144,24,UK,636,1291.92,low,False
CUST0145,Customer 145,18,AU,1123,807.6,low,False
CUST0146,Customer 146,53,IN,1458,4731.63,high,True
CUST0147,Customer 147,24,US,1205,1564.83,medium,True
CUST0148,Customer 148,39,UK,135,1411.9,medium,False
CUST0149,Customer 149,70,US,850,2560.38,high,False
CUST0150,Customer 150,27,UK,1691,2901.63,medium,False
CUST0151,Customer 151,33,US,1172,3869.33,high,False
CUST0152,Customer 152,67,DE,809,2362.47,medium,False
CUST0153,Customer 153,73,DE,908,1665.83,high,False
CUST0154,Customer 154,57,AU,233,4748.43,low,False
CUST0155,Customer 155,34,AU,196,953.87,low,False
CUST0156,Customer 156,28,US,866,2362.42,high,True
CUST0157,Customer 157,36,US,504,1582.9,medium,True
CUST0158,Customer 158,22,AU,508,4634.77,high,False
CUST0159,Customer 159,45,US,1145,1279.09,low,False
CUST0160,Customer 160,70,UK,176,486.26,medium,False
CUST0161,Customer 161,46,US,989,3505.65,high,True
CUST0162,Customer 162,35,DE,1135,2570.22,low,False
CUST0163,Customer 163,74,CA,1534,1747.14,medium,False
CUST0164,Customer 164,23,UK,1999,3436.63,high,False
CUST0165,Customer 165,66,AU,1712,1493.65,low,False
CUST0166,Customer 166,48,DE,1364,2322.7,medium,False
CUST0167,Customer 167,55,CA,1330,4108.38,low,True
CUST0168,Customer 168,40,CA,712,1741.08,low,False
CUST0169,Customer 169,39,CA,1450,2578.25,high,True
CUST0170,Customer 170,70,DE,105,2383.16,medium,False
CUST0171,Customer 171,38,US,1612,2140.04,high,False
CUST0172,Customer 172,60,DE,976,2183.59,low,False
CUST0173,Customer 173,57,CA,1310,2321.8,low,False
CUST0174,Customer 174,35,DE,298,4652.83,medium,True
CUST0175,Customer 175,25,US,1320,3122.58,low,False
CUST0176,Customer 176,37,DE,58,2850.81,low,False
CUST0177,Customer 177,71,US,975,4745.89,high,False
CUST0178,Customer 178,49,AU,627,2642.59,medium,True
CUST0179,Customer 179,71,CA,997,1369.91,high,False
CUST0180,Customer 180,42,UK,1917,3077.01,high,False
CUST0181,Customer 181,73,US,595,3908.84,medium,False
CUST0182,Customer 182,68,DE,577,4138.64,medium,False
CUST0183,Customer 183,71,DE,1217,4994.73,medium,False
CUST0184,Customer 184,46,DE,1021,1856.59,high,True
CUST0185,Customer 185,47,IN,1810,1105.53,high,False
CUST0186,Customer 186,54,CA,508,4308.86,medium,False
CUST0187,Customer 187,38,AU,998,3585.09,medium,True
CUST0188,Customer 188,60,AU,341,2577.58,low,False
CUST0189,Customer 189,50,DE,709,4374.56,medium,False
CUST0190,Customer 190,51,CA,61,3667.73,medium,False
CUST0191,Customer 191,22,CA,1630,4852.18,medium,True
CUST0192,Customer 192,59,US,1774,1777.11,high,True
CUST0193,Customer 193,38,AU,1501,4459.71,medium,False
CUST0194,Customer 194,57,US,510,3229.57,medium,False
CUST0195,Customer 195,65,US,918,4896.02,high,False
CUST0196,Customer 196,46,UK,1451,1637.44,low,False
CUST0197,Customer 197,38,US,630,1920.62,medium,False
CUST0198,Customer 198,33,DE,873,2916.45,low,False
CUST0199,Customer 199,29,US,1278,4380.03,high,False
CUST0200,Customer 200,49,DE,323,1314.5,high,False
